source,target,value
Dem. Rep. of the Congo,Angola,12615
Eritrea,Egypt,274
Palestinian,Egypt,70198
Somalia,Egypt,4317
Sudan,Egypt,12157
Azerbaijan,Armenia,113224
Iraq,Armenia,459
Afghanistan,Azerbaijan,104
Dem. Rep. of the Congo,Burundi,12623
Rwanda,Burundi,245
Afghanistan,Belgium,226
Angola,Belgium,126
Burundi,Belgium,294
Dem. Rep. of the Congo,Belgium,884
Iraq,Belgium,253
Rwanda,Belgium,1833
Somalia,Belgium,111
Syrian Arab Rep.,Belgium,100
Dem. Rep. of the Congo,Benin,502
Nigeria,Benin,215
Rwanda,Benin,144
Myanmar,Bangladesh,26268
Afghanistan,Belarus,491
Angola,Brazil,1674
Dem. Rep. of the Congo,Brazil,268
Iraq,Brazil,110
Liberia,Brazil,256
Dem. Rep. of the Congo,Central African Rep.,3027
Rwanda,Central African Rep.,276
Sudan,Central African Rep.,7900
Central African Rep.,Chad,45862
Sudan,Chad,221525
Burundi,Cameroon,269
Central African Rep.,Cameroon,22342
Dem. Rep. of the Congo,Cameroon,661
Nigeria,Cameroon,2953
Rwanda,Cameroon,1303
Angola,Congo,2666
Dem. Rep. of the Congo,Congo,46341
Rwanda,Congo,6564
Angola,Dem. Rep. of the Congo,117295
Burundi,Dem. Rep. of the Congo,5362
Rwanda,Dem. Rep. of the Congo,1490
Sudan,Dem. Rep. of the Congo,6181
Palestinian,Cyprus,108
Somalia,Eritrea,3792
Sudan,Eritrea,752
Dem. Rep. of the Congo,Ethiopia,178
Eritrea,Ethiopia,13078
Somalia,Ethiopia,16576
Sudan,Ethiopia,66980
Afghanistan,France,1238
Angola,France,2594
Azerbaijan,France,1210
Burundi,France,266
Central African Rep.,France,468
Dem. Rep. of the Congo,France,8924
Eritrea,France,104
Iraq,France,1318
Liberia,France,203
Sri Lanka,France,15669
Mali,France,163
Myanmar,France,117
Nigeria,France,471
Rwanda,France,1908
Somalia,France,612
Viet Nam,France,8750
Sudan,France,799
Syrian Arab Rep.,France,216
Liberia,Gambia,771
Liberia,Ghana,35653
Sudan,Ghana,600
Liberia,Guinea,21816
Viet Nam,"China, Hong Kong SAR",1829
Dem. Rep. of the Congo,Cote d'Ivoire,204
Liberia,Cote d'Ivoire,25615
Rwanda,Cote d'Ivoire,269
Afghanistan,India,9472
Sri Lanka,India,69609
Myanmar,India,1812
Somalia,India,130
Iraq,Indonesia,172
Afghanistan,Iran (Islamic Rep. of),914260
Iraq,Iran (Islamic Rep. of),54024
Palestinian,Iraq,15000
Sudan,Iraq,138
Syrian Arab Rep.,Iraq,663
Iraq,Jordan,699
Myanmar,Japan,269
Viet Nam,Japan,1132
Afghanistan,Kazakhstan,588
Burundi,Kenya,1195
Dem. Rep. of the Congo,Kenya,2385
Eritrea,Kenya,663
Rwanda,Kenya,2335
Somalia,Kenya,173702
Sudan,Kenya,73004
Afghanistan,Kyrgyzstan,256
Palestinian,Libya,1883
Liberia,Libya,153
Somalia,Libya,488
Iraq,Lebanon,561
Liberia,Mauritania,163
Dem. Rep. of the Congo,Mali,124
Liberia,Mali,411
Myanmar,Malaysia,21544
Burundi,Mozambique,605
Dem. Rep. of the Congo,Mozambique,1380
Rwanda,Mozambique,535
Angola,Namibia,4738
Dem. Rep. of the Congo,Namibia,433
Dem. Rep. of the Congo,Nigeria,750
Liberia,Nigeria,5778
Sudan,Nigeria,181
Afghanistan,Pakistan,1043984
Somalia,Pakistan,244
Burundi,Rwanda,2870
Dem. Rep. of the Congo,Rwanda,46272
Eritrea,Saudi Arabia,416
Iraq,Saudi Arabia,250
Liberia,Senegal,268
Rwanda,Senegal,300
Liberia,Sierra Leone,27311
Dem. Rep. of the Congo,Sudan,2733
Eritrea,Sudan,157220
Burundi,Eswatini,173
Dem. Rep. of the Congo,Eswatini,117
Afghanistan,Switzerland,1726
Angola,Switzerland,2160
Burundi,Switzerland,148
Dem. Rep. of the Congo,Switzerland,1353
Eritrea,Switzerland,628
Iraq,Switzerland,5030
Sri Lanka,Switzerland,2352
Rwanda,Switzerland,267
Somalia,Switzerland,3541
Viet Nam,Switzerland,1944
Sudan,Switzerland,165
Syrian Arab Rep.,Switzerland,388
Afghanistan,Syrian Arab Rep.,299
Iraq,Syrian Arab Rep.,42225
Somalia,Syrian Arab Rep.,1322
Sudan,Syrian Arab Rep.,227
Burundi,United Rep. of Tanzania,352640
Dem. Rep. of the Congo,United Rep. of Tanzania,127973
Somalia,United Rep. of Tanzania,2086
Myanmar,Thailand,132241
Afghanistan,Tajikistan,917
Afghanistan,Turkmenistan,710
Dem. Rep. of the Congo,Togo,124
Rwanda,Togo,819
Iraq,Turkey,141
Somalia,Turkey,139
Burundi,Uganda,1129
Dem. Rep. of the Congo,Uganda,28766
Rwanda,Uganda,17000
Somalia,Uganda,3664
Sudan,Uganda,171565
Afghanistan,Ukraine,1189
Azerbaijan,Ukraine,180
Eritrea,Yemen,206
Palestinian,Yemen,440
Iraq,Yemen,1517
Somalia,Yemen,91587
Angola,Zambia,18675
Burundi,Zambia,1001
Dem. Rep. of the Congo,Zambia,45874
Rwanda,Zambia,3167
