source,target,value
Croatia,Serbia and Kosovo: S/RES/1244 (1999),384
North Macedonia,Serbia and Kosovo: S/RES/1244 (1999),1393
Liberia,Senegal,249
Mauritania,Senegal,19777
Rwanda,Senegal,306
Sierra Leone,Senegal,189
Liberia,Sierra Leone,50720
Ethiopia,Somalia,329
Cambodia,Viet Nam,15360
Eritrea,Sudan,100040
Ethiopia,Sudan,751
Bosnia and Herzegovina,Slovenia,2001
Burundi,Eswatini,155
Afghanistan,Switzerland,976
Algeria,Switzerland,145
Bosnia and Herzegovina,Switzerland,4567
Cambodia,Switzerland,613
China,Switzerland,511
Dem. Rep. of the Congo,Switzerland,265
Colombia,Switzerland,195
Ethiopia,Switzerland,160
Iran (Islamic Rep. of),Switzerland,755
Iraq,Switzerland,2281
Lao People's Dem. Rep.,Switzerland,204
Libya,Switzerland,403
Sri Lanka,Switzerland,527
Pakistan,Switzerland,104
Romania,Switzerland,107
Rwanda,Switzerland,168
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,3184
Somalia,Switzerland,301
Viet Nam,Switzerland,2351
Sudan,Switzerland,115
Tunisia,Switzerland,636
Turkey,Switzerland,4953
Afghanistan,Syrian Arab Rep.,425
Iraq,Syrian Arab Rep.,2435
Somalia,Syrian Arab Rep.,453
Sudan,Syrian Arab Rep.,191
Burundi,United Rep. of Tanzania,324209
Dem. Rep. of the Congo,United Rep. of Tanzania,150160
Somalia,United Rep. of Tanzania,3330
Myanmar,Thailand,118762
Afghanistan,Tajikistan,3304
Afghanistan,Turkmenistan,1224
Azerbaijan,Turkmenistan,132
Tajikistan,Turkmenistan,12142
Ghana,Togo,11208
Rwanda,Togo,809
Bosnia and Herzegovina,Turkey,494
Iran (Islamic Rep. of),Turkey,1274
Iraq,Turkey,267
Serbia and Kosovo: S/RES/1244 (1999),Turkey,213
Burundi,Uganda,317
Dem. Rep. of the Congo,Uganda,11540
Rwanda,Uganda,19604
Somalia,Uganda,892
Sudan,Uganda,178281
Afghanistan,Ukraine,1510
Armenia,Ukraine,242
Azerbaijan,Ukraine,237
Congo,Ukraine,115
Georgia,Ukraine,116
Russian Federation,Ukraine,218
Afghanistan,Uzbekistan,2441
Tajikistan,Uzbekistan,39202
Ethiopia,Yemen,1795
Palestinian,Yemen,410
Iraq,Yemen,225
Somalia,Yemen,46951
Angola,Zambia,71894
Burundi,Zambia,1730
Dem. Rep. of the Congo,Zambia,54249
Rwanda,Zambia,4778
Somalia,Zambia,987
Angola,Zimbabwe,506
Burundi,Zimbabwe,1484
Dem. Rep. of the Congo,Zimbabwe,6122
Ethiopia,Zimbabwe,222
Liberia,Zimbabwe,170
Rwanda,Zimbabwe,3591
Somalia,Zimbabwe,143
Sudan,Zimbabwe,123
Western Sahara,Algeria,155430
Dem. Rep. of the Congo,Angola,13510
Rwanda,Angola,148
Ethiopia,Egypt,481
Somalia,Egypt,3809
Sudan,Egypt,14904
Yemen,Egypt,319
Cuba,Argentina,232
Lao People's Dem. Rep.,Argentina,1329
Peru,Argentina,418
Azerbaijan,Armenia,183724
Iraq,Armenia,127
Afghanistan,Azerbaijan,148
Russian Federation,Azerbaijan,8367
Dem. Rep. of the Congo,Burundi,48424
Rwanda,Burundi,378
Burundi,Benin,118
Chad,Benin,409
Congo,Benin,1140
Dem. Rep. of the Congo,Benin,842
Cote d'Ivoire,Benin,103
Nigeria,Benin,238
Rwanda,Benin,601
Togo,Benin,1100
Myanmar,Bangladesh,20402
Afghanistan,Belarus,534
Georgia,Belarus,107
Peru,Bolivia (Plurinational State of),443
Angola,Brazil,2005
Colombia,Brazil,132
Liberia,Brazil,284
Sierra Leone,Brazil,151
Croatia,Bosnia and Herzegovina,19213
Serbia and Kosovo: S/RES/1244 (1999),Bosnia and Herzegovina,2991
El Salvador,Belize,620
Viet Nam,Cambodia,357
Chad,Central African Rep.,1709
Dem. Rep. of the Congo,Central African Rep.,3447
Rwanda,Central African Rep.,241
Sudan,Central African Rep.,19470
Central African Rep.,Chad,29683
Sudan,Chad,199969
Viet Nam,China,299287
Colombia,Chile,189
Peru,Chile,221
