,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
11155,2004,Latvia,LVA,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9244,2004,Sierra Leone,SLE,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10336,2004,Ethiopia,ETH,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8650,2004,Uzbekistan,UZB,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9129,2004,Sri Lanka,LKA,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9029,2004,Ethiopia,ETH,Cuba,CUB,0,0,0,5,0,0,5,0,0,0,9,0,0,9
10631,2004,Guinea,GIN,Senegal,SEN,0,0,0,5,0,0,5,0,0,0,7,0,0,7
9929,2004,Somalia,SOM,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8412,2004,Armenia,ARM,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9949,2004,Stateless,XXA,Jordan,JOR,0,0,7,0,0,0,7,0,0,5,0,0,0,5
11250,2004,Bangladesh,BGD,Zimbabwe,ZWE,0,0,0,6,0,0,6,0,0,0,0,0,0,0
9558,2004,Malawi,MWI,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9168,2004,Guinea,GIN,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8610,2004,Cote d'Ivoire,CIV,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9837,2004,Morocco,MAR,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11130,2004,Honduras,HND,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11119,2004,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11255,2004,Dem. Rep. of the Congo,COD,Zimbabwe,ZWE,182,166,144,425,0,0,917,260,533,457,1447,0,0,2697
9773,2004,Kazakhstan,KAZ,India,IND,0,0,0,5,0,0,5,0,0,0,0,0,0,0
11106,2004,Czechia,CZE,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8964,2004,Iran (Islamic Rep. of),IRN,China,CHN,0,0,0,5,0,0,5,0,0,0,7,0,0,7
10331,2004,Congo,COG,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10176,2004,Egypt,EGY,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12074,2005,Afghanistan,AFG,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13763,2005,Russian Federation,RUS,Eswatini,SWZ,0,0,0,0,0,0,0,0,0,0,5,0,0,5
11999,2005,Honduras,HND,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
